word,decade,decade_start,mean_cosine,min_cosine,max_cosine,std_cosine,n
virus,1900s,1900,0.5377475519975027,0.5267211198806763,0.561816394329071,0.012998424576264088,6
virus,1910s,1910,0.5080425391594569,0.494704395532608,0.5269477963447571,0.01366471508517884,6
virus,1920s,1920,0.432074377934138,0.420409619808197,0.4603843986988067,0.015010406084006962,6
virus,1930s,1930,0.3396444370349248,0.3267619609832763,0.3619748950004577,0.012440219994130666,6
virus,1940s,1940,0.3413039098183314,0.3281892836093902,0.3793280124664306,0.019778264941652038,6
virus,1950s,1950,0.38157742222150165,0.3567855954170227,0.4611660838127136,0.039623819197119214,6
virus,1960s,1960,0.3236004561185837,0.3064600229263305,0.3700471520423889,0.02366081820448129,6
virus,1970s,1970,0.3575733204682668,0.3258501887321472,0.4500071406364441,0.04992934005127346,6
virus,1980s,1980,0.3513119916121165,0.314439982175827,0.4936306178569793,0.07004085901235763,6
virus,1990s,1990,0.3547458698352178,0.3368972539901733,0.3966655433177948,0.02231926720672632,6
virus,2000s,2000,0.38091616332530975,0.3698059618473053,0.3955637216567993,0.010348544778033066,6
virus,2010s,2010,0.3875797738631566,0.3643926978111267,0.4217105507850647,0.02192461896640388,6
